title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
LA NOCHE DE ANOCHE,2,11/27/2020,"Bad Bunny, ROSAL?A",https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,Costa Rica,top200,NEW_ENTRY,84744,2,0.856,0.618,7.0,-4.892,1.0,0.286,0.0303,0.0,0.0866,0.391,81.993,203201.0,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,81.0,"['reggaeton', 'trap latino', 'urbano latino']",98.0
La Santa,5,2/29/2020,"Bad Bunny, Daddy Yankee",https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,Costa Rica,top200,NEW_ENTRY,52895,5,0.744,0.868,1.0,-4.524,1.0,0.047,0.0326,0.0,0.0822,0.586,93.037,206420.0,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,82.0,"['reggaeton', 'trap latino', 'urbano latino']",98.0
Ladders,131,9/8/2018,Mac Miller,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI,Costa Rica,top200,NEW_ENTRY,2940,131,0.802,0.463,8.0,-8.379,1.0,0.162,0.236,0.00531,0.105,0.291,103.961,287040.0,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,71.0,"['hip hop', 'pittsburgh rap', 'rap']",85.0
Last Christmas,117,12/24/2017,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Costa Rica,top200,NEW_ENTRY,2843,75,0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960.0,https://open.spotify.com/artist/5lpH0xAS4fVfLkACg9DAuM,73.0,"['disco', 'europop', 'new romantic', 'new wave pop']",68.0
Llorar?s,117,12/25/2020,Dimension Latina,https://open.spotify.com/track/2naqSVQHgiaoEpxtkVOhmK,Costa Rica,top200,NEW_ENTRY,5500,65,0.704,0.884,8.0,-6.275,1.0,0.0527,0.549,0.000364,0.0492,0.964,93.058,228554.0,https://open.spotify.com/artist/2ixSzFmACsZSsx40fXTNYk,75.0,"['salsa', 'salsa venezolana', 'tropical']",60.0
Lost on You,190,7/31/2019,LP,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,Costa Rica,top200,NEW_ENTRY,2929,179,0.433,0.724,5.0,-6.126,0.0,0.0372,0.1,0.0,0.0918,0.689,174.006,268105.0,https://open.spotify.com/artist/0J7U24vlOOIeMpuaO6Q85A,73.0,"['la pop', ""women's music""]",68.0
Me Muero,188,10/24/2018,Carlos Rivera,https://open.spotify.com/track/4dpTz2Tgczw9lDdBAT0fvT,Costa Rica,top200,NEW_ENTRY,2485,188,0.51,0.572,6.0,-6.153,1.0,0.0262,0.28,0.0,0.113,0.529,142.062,196040.0,https://open.spotify.com/artist/39yVoqm6sYFvvqF1RciUVf,68.0,"['latin arena pop', 'latin pop', 'mexican pop', 'musica tlaxcalteca']",75.0
M?s De Lo Que Apost?,124,7/30/2020,"Aitana, Morat",https://open.spotify.com/track/00QBHaaP4KUcjlmxWriMbC,Costa Rica,top200,NEW_ENTRY,4194,124,0.621,0.918,1.0,-3.01,0.0,0.0552,0.0754,0.0,0.13,0.834,151.988,205031.0,https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25,68.0,"['latin pop', 'latin talent show', 'spanish pop']",76.0
Nadie (feat. Sech & Sharo Towers) - Remix,95,10/10/2019,"Farruko, Ozuna, Lunay",https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji,Costa Rica,top200,NEW_ENTRY,4295,42,0.764,0.753,0.0,-3.964,1.0,0.0779,0.308,0.0,0.118,0.714,95.109,270187.0,https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO,53.0,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",84.0
New Divide,192,7/21/2017,Linkin Park,https://open.spotify.com/track/7EbpUdQ4nQ5VnnFlZjvqYl,Costa Rica,top200,NEW_ENTRY,2599,192,0.493,0.808,5.0,-3.365,0.0,0.0362,0.000235,0.0,0.0983,0.38,117.971,268613.0,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,57.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",87.0
